query,rank,mode
les documents qui parlent d'audit de référencement naturel Tryba,1,off
analyse du positionnement SEO de Teddy Smith,1,off
rapport de crawl sur le site Teddy Smith,1,off
documents qui traitent de l'optimisation pour moteurs génératifs Louis Vuitton,1,off
stratégie pour être visible dans les IA génératives pour Louis Vuitton,1,off
documents sur la GEO generative engine optimization de Louis Vuitton,1,off
présentations qui parlent du métier du référencement,0,off
les documents qui parlent d'argumentation SEO Rakuten,1,off
documents sur le trafic payant Rakuten Armando,1,off
présentation sur mon parcours en marketing digital et data science,3,off
documents qui décrivent la recherche par vecteurs et similarité d'images,1,off
documents qui parlent de la promesse de vente Persoz,1,off
les documents qui parlent de vente immobilière signée avec Persoz,1,off
documents sur l'acquisition d'un appartement Persoz Giraud,1,off
attestation de remise de documents mutuelle prévoyance Rakuten,1,off
les papiers qui parlent d'une procuration pour acquérir un bien,1,off
documents qui expliquent la copropriété et les lots d'un immeuble,1,off
documents qui parlent d'une feuille de soins pour un animal de compagnie,2,off
les documents qui parlent de Roy le chien et de ses soins,2,off
documents pour se faire rembourser des frais vétérinaires pour un chien,2,off
assurance santé chien chat Carrefour pour mon animal,1,off
contrat d'assurance pour mon chien chez Carrefour,1,off
feuille de soin vierge à remplir pour un animal,1,off
documents qui parlent de la cession d'un chaton à une nouvelle famille,1,off
attestation de cession d'un animal de compagnie,3,off
certificat de vaccination pour mon chaton Peach,1,off
facture vétérinaire pour le chat Peach,1,off
les documents qui parlent d'une attestation de droits maladie ameli,1,off
mon attestation de sécurité sociale pour la CPAM,0,off
documents qui parlent d'un remboursement d'un tiers payant maladie,6,off
justificatif de paiement par tiers à la sécurité sociale,2,off
les factures qui parlent de lunettes et monture optique,9,off
facture d'opticien pour des verres correcteurs,4,off
garanties optique de l'assurance Axa santé,3,off
la prévoyance Axa pour la famille,0,off
grille de garanties Axa 2020 pour les lunettes,6,off
les documents qui parlent de la mutuelle Rakuten,1,off
garanties santé de la complémentaire Rakuten,3,off
attestation de cumul d'assurances,1,off
je déclare sur l'honneur que je n'ai pas deux assurances,1,off
la lettre qui parle de ma démission chez Yakarouler,1,off
courrier de départ volontaire envoyé à Yakarouler,6,off
documents qui parlent d'un solde de tout compte chez Yakarouler,1,off
récapitulatif des sommes dues à la fin du contrat Yakarouler,0,off
bulletins de paie fiche de salaire Yakarouler,1,off
mes fiches de paie chez Yakarouler,0,off
les documents qui parlent de télétravail pour motif scolaire,0,off
demande d'avenant télétravail à cause des enfants,0,off
charte informatique et droit à la déconnexion,1,off
règlement sur le bon usage des outils numériques de l'entreprise,1,off
évaluation annuelle de mes performances 2022 avec Shugi,1,off
mon bilan de fin d'année 2022 par le manager,1,off
CV de directeur SEO ecommerce,1,off
mon curriculum vitae en tant que responsable SEO,1,off
lettre de motivation pour Hermès poste e-commerce,1,off
ma candidature pour un poste chez Hermès,1,off
évaluation wingfinder passeport de talents Red Bull,1,off
les documents qui parlent de mes forces principales selon Wingfinder,2,off
attestation signée par un ami en tant que témoin,2,off
attestations Julien et Sandrine pour faire foi,1,off
attestation manuscrite sur l'honneur,9,off
les documents qui parlent d'une contestation de stationnement à Paris,1,off
recours administratif préalable obligatoire pour un FPS à Paris,1,off
dossier complet de recours contre un forfait post-stationnement,1,off
courrier au ministère public pour une majoration amende stationnement,2,off
contestation d'une amende de stationnement majorée,0,off
litige eBay acheteur livraison,3,off
preuve conversation avec un acheteur eBay sur un carton livré,1,off
les documents qui parlent de litiges sur eBay,1,off
document de l'URSSAF Montreuil,0,off
courrier Urssaf 93518 Montreuil,0,off
document de synthèse INSEE URSSAF pour la création d'entreprise,1,off
avis de situation de l'INSEE d'avril 2026,1,off
conditions générales de vente pour la domiciliation d'entreprise,1,off
les documents qui parlent de ma domiciliation d'entreprise,1,off
les documents qui parlent du passeport de Victoire,1,off
pièce d'identité de Victoire 2024,1,off
convention de stage 3ème pour Victoire Giraud,1,off
stage de découverte collège 3ème Victoire,1,off
facture de l'hôtel Novotel en Égypte,1,off
hébergement Novotel Égypte facture,1,off
préautorisation Europcar et paiement de franchise location voiture,5,off
location voiture Europcar Paphos aéroport,4,off
mandat SEPA pour l'assurance chat Carrefour,1,off
autorisation de prélèvement pour Carrefour assurance Roy,2,off
courrier de résiliation de l'abonnement Free box,1,off
lettre pour arrêter mon contrat internet Free,1,off
résiliation d'un emplacement de parking loué,0,off
courrier pour libérer une place de parking,0,off
les documents qui parlent d'un prêt pour les études de Victoire,8,off
crédit étudiant pour financer une école,1,off
LAR place des finances pour valoir ce que de droit,1,off
clé de secours de mon compte et perte de mot de passe,0,off
un poème sur un coussin qui est doux comme de la mie de pain,1,off
documents ludiques ou poèmes personnels,0,off
questionnaire donné au lycée par l'établissement,1,off
un formulaire rempli par un lycéen,0,off
séquence de cours sur la conception d'un médicament,1,off
synthèse d'un principe actif de médicament en cours de chimie,1,off
les documents qui parlent du site de fenêtres portes volets Tryba,1,off
recommandations SEO pour le fabricant de fenêtres Tryba,1,off
analyse de trafic et de visibilité du site Tryba,1,off
store locator géolocalisation des points de vente Tryba,1,off
documents qui parlent de la recherche d'un magasin Tryba près de chez moi,0,off
contestation d'un produit LG vendu sur Rakuten,1,off
litige avec LG concernant une commande Rakuten,1,off
attestation signée par Florent Thuilliez,1,off
attestation d'un témoin habitant à Gennevilliers,9,off
les documents qui parlent de Discount Auto Center Thiais,1,off
lettre reçue de Yakarouler en mars 2020,1,off
échange de mails concernant mon départ de Yakarouler,1,off
argumentations diverses sur Rakuten,1,off
document avec des arguments défendus lors d'une réunion Rakuten,0,off
documents officiels scannés sur des démarches administratives,0,off
factures et reçus de voyage à l'étranger,1,off
documents avec des tableaux Excel de visibilité SEO,4,off
fichier Excel avec les pages indexées par Google,0,off
tableau des prix de pièces automobiles Oscaro Knecht,1,off
un relevé Excel de comparaison de prix de pièces auto,1,off
fichier Excel avec les ventes de pièces détachées auto,0,off
je cherche la présentation GEO Louis Vuitton en anglais,4,off
la version française du plan d'action GEO pour Louis Vuitton,10,off
le document qui présente l'architecture hybride CSR SSR pour Louis Vuitton,1,off
le compte rendu d'échange avec Thibaud Etienne,1,off
entretien avec le responsable d'acquisition du portefeuille,1,off
retrouve l'audit SEO de Tryba,1,off
la promesse de vente avec Persoz et Giraud,1,off
je veux mon CV de directeur SEO,1,off
contrat télétravail avec motif scolaire,0,off
feuille de soin pour mon animal nommé Roy,1,off
mes bulletins de paie chez Yakarouler,6,off
procuration pour acquérir Persoz,1,off
le document de la mutuelle Rakuten de 2020,1,off
la grille de prévoyance Axa,0,off
le store locator Tryba,1,off
le solde de tout compte,1,off
la présentation Louis Vuitton sur le GEO,1,off
le document d'argumentations Rakuten,1,off
la charte informatique et la déconnexion,1,off
la facture du Novotel en Égypte,1,off
le questionnaire du lycée,1,off
la contestation LG sur Rakuten,1,off
un prêt pour les études,1,off
le SEPA de Carrefour assurance chat,1,off
les litiges ebay,1,off
